region	annotation	adjustment	arm	category	n_traits	median_estimate	n_positive_q_below_alpha	n_negative_q_below_alpha	cohort	tier
hippocampus	bivalent_any	technical_score	all_vmrs	Cardiometabolic	11	-0.0307251819030746	0	0	AA	claim_eligible
hippocampus	accessible_any	technical	all_vmrs	Cardiometabolic	11	0.289178604143922	5	1	AA	claim_eligible
hippocampus	accessible_any	technical_score	all_vmrs	Cardiometabolic	11	0.353726012334829	5	1	AA	claim_eligible
hippocampus	h3k27ac_any	technical	all_vmrs	Cardiometabolic	11	0.392539813454123	5	0	AA	claim_eligible
hippocampus	h3k27ac_any	technical_score	all_vmrs	Cardiometabolic	11	0.326389949907124	4	0	AA	claim_eligible
hippocampus	segdup_any	technical	all_vmrs	Cardiometabolic	11	-0.443707386111842	0	1	AA	claim_eligible
hippocampus	segdup_any	technical_score	all_vmrs	Cardiometabolic	11	-0.337188463145825	0	1	AA	claim_eligible
hippocampus	segdup_any	technical	high_mappability	Cardiometabolic	11	-13.114391811414	0	0	AA	claim_eligible
hippocampus	segdup_any	technical_score	high_mappability	Cardiometabolic	11	-12.8479340318546	0	0	AA	claim_eligible
hippocampus	snp_proximal_any	technical	all_vmrs	Cardiometabolic	11	-0.112152357856044	0	0	AA	claim_eligible
hippocampus	snp_proximal_any	technical_score	all_vmrs	Cardiometabolic	11	-0.159770567670894	0	0	AA	claim_eligible
hippocampus	cell_composition_r2	technical	all_vmrs	Cardiometabolic	11	-0.0026247217024794	2	0	AA	claim_eligible
