pheno_id	num_snps	boosting_iterations_performed	h2_unscaled	r_squared_cv	PopSize	LD_Decay
pheno_282	2171	11	0.0768085195268646	0.99395708748347	200	0.6
pheno_283	6816	11	0.24001613315149	0.999147217919171	200	0.6
pheno_284	4044	11	0.0793647593072924	0.99818918629753	200	0.6
pheno_285	667	11	0.0864704839965561	0.943475765725867	200	0.6
pheno_286	10455	11	0.0728256892050594	0.99995340789481	200	0.6
pheno_287	1343	11	0.0373984497879938	0.988331064026347	200	0.6
pheno_288	3830	11	0.0810095155547976	0.99902615019742	200	0.6
pheno_289	3069	15	0.451347324663208	0.994154164863095	200	0.6
pheno_290	3772	11	0.0747238191175425	0.999053574718534	200	0.6
pheno_291	1513	11	0.0603393259301482	0.978047802269284	200	0.6
pheno_292	2592	11	0.0886196335390216	0.99646032422908	200	0.6
pheno_293	9699	11	0.067108027103099	0.999894179815637	200	0.6
pheno_294	10402	11	0.0741704603973306	0.999828573746418	200	0.6
pheno_295	5352	16	0.0991006205637287	0.998127862611061	200	0.6
pheno_296	9288	11	0.0787416771574082	0.999774562985922	200	0.6
pheno_297	2905	11	0.074925879501937	0.997812686343354	200	0.6
pheno_298	3356	11	0.0829143947436203	0.998351208013066	200	0.6
pheno_299	9389	11	0.075464965263584	0.999786518165735	200	0.6
pheno_300	5931	15	0.077929902313393	0.999759954719358	200	0.6
pheno_301	23612	11	0.0608858200012008	0.999978852759566	200	0.6
pheno_302	12561	11	0.0686914928075362	0.999963862973693	200	0.6
pheno_303	4940	14	0.0755929564919195	0.999534613528785	200	0.6
pheno_304	9926	11	0.0715435059877769	0.999942180691241	200	0.6
pheno_305	12018	11	0.0660731582796731	0.99996264669618	200	0.6
pheno_306	219	11	0.0333913580381773	0.719448506316084	200	0.6
pheno_307	2832	11	0.0831124043849121	0.996182754820992	200	0.6
pheno_308	121	12	0.0801710201398728	0.481869485132357	200	0.6
pheno_309	4189	11	0.0741384699852473	0.999163068711508	200	0.6
pheno_310	7676	14	0.214038604089743	0.999398623071866	200	0.6
pheno_311	7833	16	0.0743607263286703	0.999815737206426	200	0.6
pheno_312	9924	11	0.0695438515333705	0.999939015176876	200	0.6
pheno_313	8881	16	0.0735304308695643	0.999887454333483	200	0.6
pheno_314	3224	11	0.0889730122991263	0.998513687647911	200	0.6
pheno_315	2650	20	0.112959285990403	0.997443671638054	200	0.6
pheno_316	3628	13	0.0757435150979271	0.998779908507863	200	0.6
