Tissue	h2_Category	OR	PValue	FDR	Test	Env
Hippocampus	Non-heritable	0.47273000185039254	3.9725789206323644e-08	1.8727872054409718e-07	Logit	more_than_hs
Hippocampus	Non-heritable	0.7323214008185256	0.01021536995377064	0.017742484656549005	Logit	single
Hippocampus	Non-heritable	0.9436206066441983	0.6491462507845511	0.6694320711215683	Logit	previously_married
Hippocampus	Non-heritable	1.1933767682483227	0.0009634011745351513	0.002649353229971666	DMR	smoking
Hippocampus	Non-heritable	1.0142294515928894	0.9171480122281939	0.9171480122281939	DMR	codeine
Hippocampus	Non-heritable	0.5589660853808501	0.00012742311712994793	0.0005256203581610352	DMR	morphine
Hippocampus	Non-heritable	0.6560643564356435	0.013988023188322023	0.02198117929593461	DMR	cocaine
Hippocampus	Non-heritable	0.6865145456371058	0.007214715372496116	0.014005035723080695	DMR	ethanol
Hippocampus	Non-heritable	1.350994418757008	5.247350771488294e-11	3.463251509182274e-10	DMR	nicotine
Hippocampus	Non-heritable	1.5477003181949667	3.2841059329791257e-15	9.238560513751724e-14	DMR	amphetamines
Hippocampus	Non-heritable	0.27877913962989664	0.005965054862971058	0.012302925654877808	DMR	less_than_hs
Hippocampus	Non-heritable	0.27877913962989664	0.005965054862971058	0.012302925654877808	DMR	more_than_hs
Hippocampus	Non-heritable	0.653026768172888	0.12185072342227693	0.14360978117625495	DMR	single
Hippocampus	Non-heritable	0.653026768172888	0.12185072342227693	0.14360978117625495	DMR	previously_married
Hippocampus	Non-heritable	1.19122699669055	0.0012660684908729603	0.003213866169139053	Both	smoking
Hippocampus	Non-heritable	1.0624583216813304	0.5955854962295626	0.6340103669540504	Both	codeine
Hippocampus	Non-heritable	0.5651102794229861	0.00027045787306036715	0.0008925109810992115	Both	morphine
Hippocampus	Non-heritable	0.686324162370154	0.03436343697899022	0.04724972584611155	Both	cocaine
Hippocampus	Non-heritable	0.7021901709401709	0.011905659934974798	0.019644338892708415	Both	ethanol
Hippocampus	Non-heritable	1.3469663634574736	9.286901542320127e-11	5.10779584827607e-10	Both	nicotine
Hippocampus	Non-heritable	1.541996951950081	7.362096697054899e-15	9.238560513751724e-14	Both	amphetamines
Hippocampus	Non-heritable	0.31378264925373134	0.014997346024839965	0.022496019037259948	Both	less_than_hs
Hippocampus	Non-heritable	0.29878509239516704	0.009782860720960788	0.017742484656549005	Both	more_than_hs
Hippocampus	Non-heritable	0.6275152082358446	0.10864138715786018	0.1378909913926687	Both	single
Hippocampus	Non-heritable	0.6759759435321233	0.15379317055356984	0.17500602166440707	Both	previously_married
Hippocampus	Low prediction	1.9932902697539008	0.07863641675833516	0.259500175302506	Logit	smoking
Hippocampus	Low prediction	2.8959700093720713	0.06088059439341865	0.25113245187285194	Logit	codeine
Hippocampus	Low prediction	5.761534947464596	0.0071787443215002	0.2368985626095066	Logit	morphine
Hippocampus	Low prediction	0.0	1.0	1.0	Logit	cocaine
Hippocampus	Low prediction	0.0	1.0	1.0	Logit	ethanol
Hippocampus	Low prediction	1.425031328320802	0.35580713427262833	0.7827756953997823	Logit	nicotine
Hippocampus	Low prediction	0.2890840652446675	0.07532442443247483	0.259500175302506	Logit	amphetamines
Hippocampus	Low prediction	0.0	1.0	1.0	Logit	less_than_hs
Hippocampus	Low prediction	1.036816578483245	0.6247702065236559	1.0	Logit	more_than_hs
Hippocampus	Low prediction	0.0	0.6317555990789294	1.0	Logit	single
Hippocampus	Low prediction	0.0	0.6357421880352938	1.0	Logit	previously_married
Hippocampus	Low prediction	2.253396226415094	0.02781839473949941	0.25113245187285194	DMR	smoking
Hippocampus	Low prediction	2.9116030774061863	0.059962884511113056	0.25113245187285194	DMR	codeine
Hippocampus	Low prediction	4.23753359211705	0.04021304122613515	0.25113245187285194	DMR	morphine
Hippocampus	Low prediction	0.0	1.0	1.0	DMR	cocaine
Hippocampus	Low prediction	0.0	1.0	1.0	DMR	ethanol
Hippocampus	Low prediction	1.4406814449917897	0.27376175177452644	0.6452955577542409	DMR	nicotine
Hippocampus	Low prediction	0.2957252466203873	0.1121320152032316	0.3083630418088869	DMR	amphetamines
Hippocampus	Low prediction	0.0	1.0	1.0	DMR	less_than_hs
Hippocampus	Low prediction	0.0	1.0	1.0	DMR	more_than_hs
Hippocampus	Low prediction	0.0	1.0	1.0	DMR	single
Hippocampus	Low prediction	0.0	1.0	1.0	DMR	previously_married
Hippocampus	Low prediction	2.0413844298042125	0.05027499480954194	0.25113245187285194	Both	smoking
