sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br1137	Microglia	0.0813322904602778	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1142	Microglia	0.104300035494944	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1143	Microglia	0.0964514920520462	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1160	Microglia	0.0703786071926621	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1167	Microglia	0.07616352763558	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1179	Microglia	0.0908476676973717	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1185	Microglia	0.102381762306388	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1187	Microglia	0.100295129812577	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1193	Microglia	0.0749055484207449	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1214	Microglia	0.0858460189616237	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1227	Microglia	0.105759589362088	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1228	Microglia	0.0866558645729041	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1235	Microglia	0.0744094622944964	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1245	Microglia	0.0842640070450336	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1250	Microglia	0.090106928233273	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1263	Microglia	0.111662084480896	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1265	Microglia	0.0632988294716957	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1275	Microglia	0.0805993322754265	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1276	Microglia	0.0757819359035061	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1279	Microglia	0.100333924627137	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1280	Microglia	0.0608083828741704	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1281	Microglia	0.101636948922696	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1283	Microglia	0.075849143529124	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1298	Microglia	0.0682249956844932	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1314	Microglia	0.0754433755665705	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1320	Microglia	0.0703123569637736	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1321	Microglia	0.0800132873067665	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1324	Microglia	0.0848129311713953	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1325	Microglia	0.0945528425056446	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1326	Microglia	0.0546451686772356	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1339	Microglia	0.0699032365301841	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1340	Microglia	0.0806525011065258	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1348	Microglia	0.0698407120928797	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1351	Microglia	0.0646367167987506	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1370	Microglia	0.0801565279356998	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1378	Microglia	0.0776810630150494	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1383	Microglia	0.0892413876700606	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1389	Microglia	0.10584269748566	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1390	Microglia	0.0702099274210987	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1399	Microglia	0.0927553625693829	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1410	Microglia	0.0924622107668413	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1416	Microglia	0.0998841066171824	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1420	Microglia	0.0990796439501426	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1425	Microglia	0.0829631421497779	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1446	Microglia	0.100243712300654	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1447	Microglia	0.0982980639476534	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1453	Microglia	0.0858302122072616	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1455	Microglia	0.0969848330375786	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1459	Microglia	0.0750804336806136	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1463	Microglia	0.082623726513256	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
Br1464	Microglia	0.081593408585089	dlpfc	scmd_reference_ensemble_v1	Lee_Tian_WGBS	Micro
