sample_id	cell_type	proportion	region	method	reference	cell_type_raw
Br2470	Astrocyte	0.150174857476638	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2476	Astrocyte	0.110342093659999	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2481	Astrocyte	0.113134539445859	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2494	Astrocyte	0.0831601765547098	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2509	Astrocyte	0.090657299302353	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2513	Astrocyte	0.128843274523627	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2534	Astrocyte	0.119727177094028	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2539	Astrocyte	0.0975796267725892	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2542	Astrocyte	0.125217873621823	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2543	Astrocyte	0.111140287949754	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2573	Astrocyte	0.105823264942881	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2582	Astrocyte	0.116695963100721	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2585	Astrocyte	0.0844504625222423	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br2587	Astrocyte	0.0747706913646228	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5005	Astrocyte	0.10025264500691	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5062	Astrocyte	0.172811848229181	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5066	Astrocyte	0.102920916788726	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5073	Astrocyte	0.103322213899799	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5154	Astrocyte	0.0735916614826149	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5161	Astrocyte	0.124321479803199	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5165	Astrocyte	0.102196218809385	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5179	Astrocyte	0.104846101614599	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5182	Astrocyte	0.0926344800985054	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5200	Astrocyte	0.0906667592430089	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5205	Astrocyte	0.118001039333087	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5207	Astrocyte	0.0678325152466016	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5212	Astrocyte	0.130339552398828	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5224	Astrocyte	0.107158533230653	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5228	Astrocyte	0.140346968023227	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5234	Astrocyte	0.106393480263987	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
Br5239	Astrocyte	0.136116873249358	caudate	scmd_reference_ensemble_v1	Lee_Tian_850K	Astro
